Samples,204252_at,211803_at,211804_s_at
GSM575635,9.402919,4.98781,7.2297199999999995
GSM575636,9.322787,2.64017,6.587003
GSM575637,10.05665,6.628831,7.753547999999999
GSM575638,9.475682,6.714828999999999,5.954773
GSM575639,9.420712,1.925098,3.8933699999999996
GSM575640,9.192255000000001,5.177444,5.296195
GSM575641,9.994975,4.958525,8.693817
GSM575642,9.732141,2.885277,4.003278
GSM575643,9.203375,3.454772,6.062119
GSM575644,9.661715,5.87371,7.340965
GSM575645,9.655036,2.365795,7.509432
GSM575646,9.771642,7.920926,7.48557
GSM575647,9.640875999999999,6.086427,7.5403910000000005
GSM575648,9.599302999999999,8.321088,4.01011
GSM575649,9.167913,4.744617,5.5645370000000005
GSM575650,8.509093,7.028805999999999,6.3657129999999995
GSM575651,9.967784,2.1164680000000002,7.244222
GSM575652,10.13608,4.027759,8.151264
GSM575653,10.089189999999999,5.73104,9.325117
GSM575654,10.71871,4.972389,9.001854
GSM575655,9.335582,6.5492550000000005,6.970816
GSM575656,10.13291,2.936004,8.235201
GSM575657,9.926322,3.543801,8.105837
GSM575658,9.46942,6.096831,7.269812
GSM575659,9.501237,5.6645970000000005,7.344571000000001
GSM575660,9.904764,5.440585,8.527871000000001
GSM575661,9.847709,4.839626,7.663085000000001
GSM575662,9.917969,3.7793589999999995,8.313215
GSM575663,8.954995,5.336257,2.832166
GSM575664,10.15799,1.9674220000000002,7.521539
GSM575665,8.963922,6.731901,4.738356
GSM575666,11.11099,6.397739,9.180335000000001
GSM575667,10.088560000000001,3.939973,8.64034
GSM575668,10.60266,4.886448000000001,9.194626
GSM575669,9.321226,5.990901,7.583028
GSM575670,9.769167,4.279751999999999,6.742432000000001
GSM575671,10.12585,5.352687,8.441919
GSM575672,10.243139999999999,4.194093,7.8471910000000005
GSM575673,9.174778,6.6582360000000005,5.17951
GSM575674,9.836488000000001,5.042408,7.271305
GSM575675,9.947189,3.4359830000000002,7.257105
GSM575676,8.562151,7.475484,7.044623
GSM575677,9.971605,3.606302,8.91925
GSM575678,9.444852000000001,5.924074,8.748091
GSM575679,9.271028,2.591856,7.888675
GSM575680,10.50561,3.724474,8.299612
GSM575681,9.296192999999999,2.903257,7.031955
GSM575682,10.15615,6.085636,7.462397999999999
GSM575683,9.865246,2.803152,7.635495
GSM575684,9.869895,3.6002650000000003,7.605623
GSM575685,10.54032,3.112781,6.802382000000001
GSM575686,9.774887,5.9272540000000005,7.6498990000000004
GSM575687,9.688928,3.9551190000000003,7.518658
GSM575688,9.808909,5.296643,6.556897
GSM575689,9.914595,3.050987,7.432510000000001
GSM575690,10.15366,5.160527,8.467164
GSM575691,9.749943,6.019533999999999,7.0052080000000005
GSM575692,10.33108,4.278149,8.16555
GSM575693,10.348189999999999,6.676357,7.824077000000001
GSM575694,9.552164999999999,6.4305129999999995,6.783602
GSM575695,9.680289,4.872672000000001,7.632194999999999
GSM575696,9.287765,3.918458,6.734074000000001
GSM575697,10.31105,3.24137,8.025002
GSM575698,9.555608,3.241174,7.189114999999999
GSM575699,9.706560000000001,4.319625,7.820253
GSM575700,10.0536,4.709887999999999,6.801538000000001
GSM575701,9.718305,4.969393,7.486872
GSM575702,9.717669,1.979845,7.451011
GSM575703,9.757203,3.571532,7.1074660000000005
